"","logFC","logCPM","LR","PValue","FDR"
"oases3_k49_Locus_411_Transcript_27_1",-5.51880688819655,7.52573440486414,27.1845546527633,1.84930167253425e-07,0.000164063786129977
"oases3_k49_Locus_25147_Transcript_5_1",5.22794174884452,6.03784518478771,26.9850004516533,2.05040430694403e-07,0.000164063786129977
"oases3_CL6Contig22_1",-5.60506004851529,4.92166465963682,26.9588698378135,2.07831211037434e-07,0.000164063786129977
"oases3_CL82Contig2_1",-6.93645029614909,4.49576662153024,26.926723707573,2.11316738321073e-07,0.000164063786129977
"oases6_CL1021Contig1_1",-5.71648490643921,4.37255848996083,26.9178739452725,2.12286540316607e-07,0.000164063786129977
"oases2_CL1793Contig1_1",-5.55243218229192,5.07224488839675,26.9089418444415,2.13269888809098e-07,0.000164063786129977
"oases6_CL13604Contig1_1",6.55789902670561,7.96531861834561,26.8293395687567,2.22237562718244e-07,0.000166341812484299
"oases2_k25_Locus_41_Transcript_8_1",-4.78578881381442,6.66665217663873,26.7684529073892,2.29351097950422e-07,0.000167148665964184
"oases3_CL497Contig2_1",-6.32021562192418,4.99705820941,26.5188600180414,2.60977733927764e-07,0.000182291805564028
"oases3_CL214Contig1_1",-5.46974937061255,4.96649723559307,26.4832114030873,2.65838455263227e-07,0.000182291805564028
"oases6_CL24Contig3_1",-4.34365867875321,5.52569971291097,26.3779359286096,2.80729047676891e-07,0.000182291805564028
"oases2_CL234Contig1_1",-6.54556097689246,3.48370686921789,26.3734079680848,2.8138792815469e-07,0.000182291805564028
"oases3_CL2Contig32_1",-4.82644547108713,5.75261117920564,26.3620918277347,2.83041367778335e-07,0.000182291805564028
"oases6_k37_Locus_3206_Transcript_1_1",-6.57090475664233,4.41447312220167,26.113194747859,3.2197620862004e-07,0.000202654752761895
"oases3_CL68Contig1_1",-4.9999856101532,6.05531980318844,25.9557345619917,3.49336177617324e-07,0.000210327455620322
"oases6_CL43Contig1_1",-5.43325372462187,4.15326082816193,25.897229867042,3.60085514041026e-07,0.000210327455620322
"oases2_CL1Contig1_1",-4.64958882862417,5.17734899407894,25.8726625226964,3.64697659023543e-07,0.000210327455620322
"TRINITY_DN39803_c3_g2_i7",-6.76998513351311,3.42940301402411,25.8498052768847,3.69041924045005e-07,0.000210327455620322
"oases2_k43_Locus_3460_Transcript_4_1",-6.15089215411357,3.54823861976545,25.8336689632236,3.72140005972261e-07,0.000210327455620322
"oases2_CL131Contig1_1",-4.30618539744352,6.84473832319893,25.7470359843745,3.89224319406841e-07,0.000215583566033061
"oases6_CL2Contig18_1",-4.86300744776591,4.46141158296035,25.6811521451911,4.0274131036899e-07,0.000216366245734338
"oases3_CL23357Contig1_1",-5.85005491089499,3.51885748012778,25.6187023255618,4.15987969310681e-07,0.000216366245734338
"oases3_CL902Contig1_1",-4.92958176803434,5.21858179729334,25.5714583102359,4.26298677096161e-07,0.000216366245734338
"oases2_CL269Contig1_1",-5.50688905988283,5.16080544301963,25.5503252469144,4.30993395860828e-07,0.000216366245734338
"oases3_CL132Contig5_1",-5.31945276365512,5.06946119468873,25.5454106382279,4.32092585840934e-07,0.000216366245734338
"oases2_CL6054Contig1_1",-6.68874766303372,4.37171059883205,25.5014999568479,4.42039126385127e-07,0.000216366245734338
"oases2_CL441Contig1_1",-5.54512400386562,5.48265129363953,25.4652704176929,4.50418353542605e-07,0.000216366245734338
"oases2_k31_Locus_4765_Transcript_3_2",6.53613099187776,5.13595327226701,25.4114367618864,4.63164102053706e-07,0.000216366245734338
"oases2_CL5800Contig1_1",-5.29023702776389,7.99541086237686,25.4028962686164,4.65219136718058e-07,0.000216366245734338
"oases6_k43_Locus_35303_Transcript_1_1",9.79359587253232,3.54175820943139,25.339997633279,4.80638213041421e-07,0.000216366245734338
"oases3_k25_Locus_2852_Transcript_1_1",-4.91168716497277,7.31314023870405,25.3320796344587,4.82615208007902e-07,0.000216366245734338
"oases3_k31_Locus_3020_Transcript_3_1",-5.65210578292829,8.57633973316563,25.3132060927728,4.8736056260146e-07,0.000216366245734338
"oases2_k31_Locus_117_Transcript_82_1",-10.657831798342,3.77920469768106,25.294134901668,4.92203129965455e-07,0.000216366245734338
"oases3_CL12875Contig1_1",-4.24613852460125,5.56000664777059,25.2477434984325,5.04185223691214e-07,0.000218170399764132
"oases6_k49_Locus_280_Transcript_48_1",-5.74885331732361,5.75486776636959,25.0923409744992,5.46494868504682e-07,0.000229527329254173
